city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Almaty,43.2500,76.9000,Kazakhstan,KZ,Almaty,,1806833,1806833
Nur-Sultan,51.1333,71.4333,Kazakhstan,KZ,Astana,primary,1078362,1078362
Shymkent,42.3000,69.6000,Kazakhstan,KZ,Ongtüstik Qazaqstan,admin,1018974,1018974
Qaraghandy,49.8000,73.1167,Kazakhstan,KZ,Qaraghandy,admin,501129,501129
Taraz,42.8833,71.3667,Kazakhstan,KZ,Zhambyl,admin,406262,406262
Aqtöbe,50.3000,57.1667,Kazakhstan,KZ,Aqtöbe,admin,387807,387807
Pavlodar,52.3156,76.9564,Kazakhstan,KZ,Pavlodar,admin,353930,353930
Semey,50.4111,80.2275,Kazakhstan,KZ,Shyghys Qazaqstan,,340000,340000
Öskemen,49.9500,82.6167,Kazakhstan,KZ,Shyghys Qazaqstan,admin,316699,316699
Oral,51.2333,51.3667,Kazakhstan,KZ,Batys Qazaqstan,admin,271900,271900
Türkistan,43.3000,68.2436,Kazakhstan,KZ,Ongtüstik Qazaqstan,admin,227098,227098
Qostanay,53.2144,63.6246,Kazakhstan,KZ,Qostanay,admin,217135,217135
Petropavl,54.8622,69.1408,Kazakhstan,KZ,Soltüstik Qazaqstan,admin,216406,216406
Qyzylorda,44.8479,65.4999,Kazakhstan,KZ,Qyzylorda,,200900,200900
Aqtaū,43.6500,51.1500,Kazakhstan,KZ,Mangghystaū,admin,183350,183350
Atyraū,47.1167,51.8833,Kazakhstan,KZ,Atyraū,admin,163221,163221
Ekibastuz,51.7298,75.3266,Kazakhstan,KZ,Pavlodar,,159760,159760
Kökshetaū,53.2824,69.3969,Kazakhstan,KZ,Aqmola,admin,153057,153057
Taldyqorghan,45.0167,78.3667,Kazakhstan,KZ,Almaty,admin,129960,129960
Zhezqazghan,47.7833,67.7000,Kazakhstan,KZ,Qaraghandy,,86227,86227
Kentaū,43.5169,68.5044,Kazakhstan,KZ,Ongtüstik Qazaqstan,,81484,81484
Qaskeleng,43.1983,76.6311,Kazakhstan,KZ,Almaty,,58418,58418
Esik,43.3552,77.4524,Kazakhstan,KZ,Almaty,,36715,36715